vx_mps,vy_mps,dpsi_radps,ax_mps2,ay_mps2,deltawheel_rad,TwheelRL_Nm,TwheelRR_Nm,pBrakeF_bar,pBrakeR_bar,time_s,beta_true_rad,yaw_acc_rps2,fyf_true_n,fyr_true_n
11.258468627916669,0.2288483083247222,0.3214642496502644,0.9548691258284849,3.7355335116414,0.1640689741247624,0.0,0.0,0.0,0.0,16.875,0.020326770530520153,-0.252829551697,3334.422946047119,2829.2073481611915
11.272747251722222,0.2322663201225,0.3156962422034935,0.8739810088187878,3.7130192697066,0.1334316943059375,0.0,0.0,0.0,0.0,16.9,0.0206042338159418,-0.208346948028,3314.3262169758095,2812.15557804008
11.286537382333332,0.2360054519441666,0.3107358050680653,0.7903465502187879,3.6311523258724,0.1027415840290802,0.0,0.0,0.0,0.0,16.925,0.02091035044225192,-0.202487722039,3241.2499039959375,2750.1514336935224
11.30001068113889,0.2364957167041666,0.3045353668382498,0.6924465017606062,3.2827270030954003,0.0719295259414176,0.0,0.0,0.0,0.0,16.95,0.02092880470448644,-0.316634684801,2930.2374642384357,2486.262090868975
11.313007142805557,0.2238100932702777,0.2919058247105477,0.5744974957090909,2.3832892149724,0.0418220300066407,0.0,0.0,0.0,0.0,16.975,0.019783430739952153,-0.813775420189,2127.3786517253634,1805.048552979096
11.324397193055557,0.1892139348719444,0.2617441771409319,0.43446954900606066,1.2077084243294,0.0157088408627897,0.0,0.0,0.0,0.0,17.0,0.01670852157923035,-1.56952810287,1078.028257454686,914.6906426888243
11.332675086138888,0.1401790645386111,0.2162304711496455,0.31318641893818183,0.31445970162782,-0.0123837968568171,0.0,0.0,0.0,0.0,17.025,0.01236945941475597,-2.01543474197,280.69394678089833,238.1645609050046
11.336946487416666,0.0839533160130555,0.1631669697858879,0.2091785407789091,-0.32381874322882,-0.0434193919479178,0.0,0.0,0.0,0.0,17.05,0.007405284668692638,-2.23853158951,-289.048042111627,-245.25288421592592
11.33738835652778,0.0356356799602777,0.1072504073007142,0.12155150904793939,-0.43177689462922,-0.0736713955807374,0.0,0.0,0.0,0.0,17.075,0.0031432000774463706,-2.20007133484,-385.413965779689,-327.0179103585239
11.33470217386111,0.0011548947077249,0.0537607377439848,0.05386698289355758,-0.50279582440836,-0.1038833685733512,0.0,0.0,0.0,0.0,17.1,0.00010189016791179532,-2.07641506195,-448.80709244320013,-380.80601783059393
11.32950994702778,-0.0210755297707222,0.0034922260239659,0.006047609791612121,-0.6314569175241601,-0.1340877931687938,0.0,0.0,0.0,0.0,17.125,-0.0018602331318179584,-1.94005036354,-563.6529370359102,-478.250976878954
11.322964562305556,-0.0294070463213888,-0.0395201038319582,-0.02448064609009454,-0.47731944546132,-0.1649259543963859,0.0,0.0,0.0,0.0,17.15,-0.0025971154603173117,-1.49349057674,-426.0662918912931,-361.51079311988497
11.315631866444445,-0.0290910175277777,-0.0742238974771078,-0.035237514497413094,-0.79723305404162,-0.1951074841288709,0.0,0.0,0.0,0.0,17.175,-0.002570869914392025,-1.27208244801,-711.6285211896102,-603.806017979063
11.307092242777776,-0.028533788605,-0.1026961604878156,-0.034922008225460606,-1.1665030419798,-0.2255000527325042,0.0,0.0,0.0,0.0,17.2,-0.002523530187279183,-1.0020815134,-1041.247387472133,-883.4826317945369
11.298934088805558,-0.0243662070069166,-0.1195939342491262,-0.036461553284606055,-1.1940634712594,-0.2565660515534747,0.0,0.0,0.0,0.0,17.225,-0.002156504924748386,-0.484778791666,-1065.8484591815466,-904.3562683964635
11.290555530111112,-0.0227295772896944,-0.1288871763532575,-0.02787062442660606,-1.4721648275852,-0.2871702332724725,0.0,0.0,0.0,0.0,17.25,-0.0020131495947277554,-0.271175354719,-1314.0881124920352,-1114.9838530235447
11.2815560235,-0.0248523097899166,-0.1337702902713798,-0.018016054558000007,-1.6527849078188002,-0.3179354446925828,0.0,0.0,0.0,0.0,17.275,-0.002202915071125658,-0.129740133882,-1475.3137414874375,-1251.781356413583
11.272017161055556,-0.0295179213086111,-0.1358548796146966,-0.006125872062969713,-1.7537345021952002,-0.3488166284557952,0.0,0.0,0.0,0.0,17.3,-0.002618690238566575,-0.0444069094956,-1565.4236663037484,-1328.2382623183319
11.262034310222225,-0.0357236795955555,-0.1362636249077884,0.007872418490363632,-1.8048973262292,-0.3797969483892155,0.0,0.0,0.0,0.0,17.325,-0.003172044997512585,0.00754762953147,-1611.092777265245,-1366.987811012935
11.251697540277778,-0.0428589888744444,-0.135654293650291,0.02360173774521212,-1.8243646234296,-0.4108614408592692,0.0,0.0,0.0,0.0,17.35,-0.003809113133464687,0.0387538522482,-1628.4697335367496,-1381.7318951220905
11.241081025861112,-0.0505108965766666,-0.1344366963999723,0.0404206616950303,-1.8226592689718,-0.4419975557173045,0.0,0.0,0.0,0.0,17.375,-0.004493419846406388,0.0566634982824,-1626.9474950084345,-1380.4402987950352
11.230244106722225,-0.0583614615930555,-0.1329002355433763,0.057880679044181815,-1.8065112650424,-0.4732247506835843,0.0,0.0,0.0,0.0,17.4,-0.005196811488551826,0.0648051723838,-1612.5334160911261,-1368.210171228834
11.219225989444446,-0.0660056993366666,-0.1314049038807634,0.07615755485787878,-1.7626668035998003,-0.5045300095611681,0.0,0.0,0.0,0.0,17.425,-0.005883266760003563,0.0483576059341,-1573.3968435411334,-1335.0033823985373
11.208018196944444,-0.0730857253075,-0.1302399040618019,0.09380097822733334,-1.7355405986296002,-0.5359008487796064,0.0,0.0,0.0,0.0,17.45,-0.006520842848687094,0.0441268347204,-1549.183370416094,-1314.4586173227462
11.196597417194443,-0.0798250403669444,-0.1292348270664387,0.11179769111418182,-1.7079668074812002,-0.5673278141189795,0.0,0.0,0.0,0.0,17.475,-0.007129401673794069,0.0356601960957,-1524.570371595924,-1293.5748607480564
11.184986962222222,-0.0854169991280555,-0.1290905752815736,0.13325984839212124,-1.6336549431118002,-0.5988005858279021,0.0,0.0,0.0,0.0,17.5,-0.00763675446529845,-0.0176148805767,-1458.2378959415987,-1237.2927601928714
11.173200607305557,-0.0899221665330555,-0.1296138697909564,0.15840550509357576,-1.6169381469472002,-0.6303128056108225,0.0,0.0,0.0,0.0,17.525,-0.008048022200036418,-0.0242392756045,-1443.3161000209025,-1224.6318424419778
11.161337958444443,-0.0939092122847222,-0.1303022636432644,0.18897972569321214,-1.6024611800904,-0.6618388738317386,0.0,0.0,0.0,0.0,17.55,-0.00841379524877413,-0.0307681094855,-1430.3936271462671,-1213.6673200028931
11.149510277638887,-0.0973839064438888,-0.1311432566259848,0.22501900008230305,-1.5899005830260002,-0.693368304293323,0.0,0.0,0.0,0.0,17.575,-0.008734366265323685,-0.0362395830452,-1419.1817499305857,-1204.1542120623149
11.137843661833331,-0.1003548171786111,-0.1321014286967124,0.26627110387373937,-1.5790286928458002,-0.7248857172406007,0.0,0.0,0.0,0.0,17.6,-0.009010255505964996,-0.0400839410722,-1409.477251236948,-1195.9200919586222
11.126741833166667,-0.1033285674122222,-0.1330931982091077,0.30431780323854546,-1.5714917212722002,-0.740952135333225,0.0,0.0,0.0,0.0,17.625,-0.00928650713403089,-0.0392504744232,-1402.7495774306772,-1190.211762668453
11.116162406083332,-0.1054526120424999,-0.1341083203152084,0.3410909566012727,-1.5682003200066,-0.7408842247247465,0.0,0.0,0.0,0.0,17.65,-0.00948642239922573,-0.0418535582721,-1399.8115971206455,-1187.7189308902446
11.10653241475,-0.1072921107213888,-0.13518871483512,0.38360036214187876,-1.5683482497914,-0.7408825602487447,0.0,0.0,0.0,0.0,17.675,-0.009660270795131324,-0.0445537604392,-1399.943642641668,-1187.8309695141422
11.097910139305556,-0.1088792830705555,-0.1363400992428483,0.4285707462190303,-1.5699735790466005,-0.7408875869662873,0.0,0.0,0.0,0.0,17.7,-0.009810791554793445,-0.0475048646331,-1401.3944488374984,-1189.0619565893924
11.090326309194444,-0.1102141539255555,-0.1375661353850734,0.4747324533169697,-1.5721695989342002,-0.7408941782894739,0.0,0.0,0.0,0.0,17.725,-0.009937863941314547,-0.0504575408995,-1403.3546665896265,-1190.725171651804
11.083796819055555,-0.1112829811044444,-0.1388621544070861,0.5213645426430303,-1.5746382594082002,-0.7409013022452604,0.0,0.0,0.0,0.0,17.75,-0.010040149862105354,-0.0530331507325,-1405.5582495865,-1192.5948784370303
11.078328026666668,-0.1120712359747222,-0.1402145658652862,0.5678162730824242,-1.5773640811432,-0.7409089588336466,0.0,0.0,0.0,0.0,17.775,-0.010116259033398838,-0.0549201741815,-1407.991380627004,-1194.6593532592758
11.073913574222225,-0.1125698205497222,-0.1416040035850719,0.6133462616890909,-1.5802784293884,-0.740916082789433,0.0,0.0,0.0,0.0,17.8,-0.010165315070885275,-0.0560847148299,-1410.5927947573505,-1196.8666137335094
11.070529090027778,-0.1127612756358333,-0.1430208052849504,0.6572576164478787,-1.5825792998092003,-0.7409234730615193,0.0,0.0,0.0,0.0,17.825,-0.010185716935372811,-0.0571846216917,-1412.646604501819,-1198.6092401833614
11.0681353675,-0.1126232826047222,-0.1444615421451785,0.6988599557587879,-1.5849273383650002,-0.740930064384706,0.0,0.0,0.0,0.0,17.85,-0.01017545222074392,-0.0578228905797,-1414.7425176061356,-1200.3875906961148
11.066672007249998,-0.1121601627933333,-0.1459075720380275,0.7375526566939393,-1.5879704862854,-0.7409357568929984,0.0,0.0,0.0,0.0,17.875,-0.010134949578324443,-0.0576123632491,-1417.4589012826234,-1202.6924010882865
11.06606907313889,-0.1113889945877777,-0.147337356648276,0.7728753107242424,-1.5918284893,-0.740940350845681,0.0,0.0,0.0,0.0,17.9,-0.010065814143357974,-0.0565390475094,-1420.9026433177871,-1205.6143640272132
11.066241794166666,-0.1103301843008333,-0.1487329362832777,0.8044342780836363,-1.5958563268144002,-0.7409439128227017,0.0,0.0,0.0,0.0,17.925,-0.009969977735258912,-0.0551329962909,-1424.497983525313,-1208.6649557184473
11.067100101055557,-0.1089726471238888,-0.1501024835186387,0.8320612127127273,-1.5990176141268002,-0.7409463762467303,0.0,0.0,0.0,0.0,17.95,-0.009846540297714956,-0.0542190000415,-1427.3198211344964,-1211.059242174724
11.068548626361112,-0.1073251002363889,-0.1514392738724991,0.8555202229818183,-1.6030028104790002,-0.7409485400657944,0.0,0.0,0.0,0.0,17.975,-0.009696402288984931,-0.0525433272123,-1430.8770988619929,-1214.0775384283572
11.070490943055557,-0.10541509423,-0.1527250314020424,0.8750188099254546,-1.6074265390638,-0.7409493057242841,0.0,0.0,0.0,0.0,18.0,-0.009522169772978874,-0.0503267981112,-1434.8258205249824,-1217.4279689302878
11.07283592225,-0.1032589872677777,-0.1539523824798639,0.890612497040606,-1.61191861033,-0.7409499382246235,0.0,0.0,0.0,0.0,18.025,-0.00932543279723732,-0.0478556714952,-1438.83554643391,-1220.83016061059
11.075492435027778,-0.1008728312122222,-0.1551156512440978,0.9024387244018182,-1.6166035890592,-0.7409493723033589,0.0,0.0,0.0,0.0,18.05,-0.009107751353176667,-0.0450334437191,-1443.0174659716959,-1224.3784559759843
11.078373591111111,-0.0982908821769444,-0.1561976603054431,0.9105689216381818,-1.6219413280504005,-0.7409488396707592,0.0,0.0,0.0,0.0,18.075,-0.00887232059548971,-0.0415012799203,-1447.7820543007265,-1228.4211369824343
11.081392500138888,-0.0955433729622222,-0.1571878568883702,0.9150768118193939,-1.627487015721,-0.7409482737494946,0.0,0.0,0.0,0.0,18.1,-0.008621964519443267,-0.0376163944602,-1452.7322623935813,-1232.6213135460687
11.08447074888889,-0.0926651391719444,-0.1580751888739381,0.9164497514206061,-1.6332137823134003,-0.7409460766417657,0.0,0.0,0.0,0.0,18.125,-0.008359906509855977,-0.0334035865963,-1457.844105687945,-1236.9586351291655
11.087537341638887,-0.0896861486963888,-0.1588543965194123,0.9150275213066668,-1.6391921609658002,-0.7409446784811912,0.0,0.0,0.0,0.0,18.15,-0.008088915142551572,-0.0288414377719,-1463.1805436817676,-1241.4865219118028
11.090531879,-0.08664758669,-0.1595145775088578,0.9112251420448485,-1.6453784882976,-0.7409424480847976,0.0,0.0,0.0,0.0,18.175,-0.007812753043347526,-0.0239955242723,-1468.702601439415,-1246.1719042516247
11.09340455797222,-0.0835837341016666,-0.1600525526938007,0.9054796993369698,-1.651623374226,-0.7409398847912836,0.0,0.0,0.0,0.0,18.2,-0.007534543039954274,-0.0190017931163,-1474.2769299443557,-1250.9016375285441
11.09611299302778,-0.0805333256722222,-0.1604632787128896,0.8982060657848485,-1.6579817265242,-0.7409371883404923,0.0,0.0,0.0,0.0,18.225,-0.007257796105971987,-0.0138413757086,-1479.9525411351262,-1255.7173076298038
11.098626454666666,-0.0775277531808333,-0.160748569844783,0.889784249970303,-1.66385101974,-0.7409346250487239,0.0,0.0,0.0,0.0,18.25,-0.006985346655057033,-0.00899761449546,-1485.1916069646395,-1260.1625756063604
11.100923750138888,-0.0745933999616666,-0.1609136858323897,0.8805786872630303,-1.6695669799998,-0.740932161624695,0.0,0.0,0.0,0.0,18.275,-0.006719566915386959,-0.00423116749153,-1490.2938042785102,-1264.49171272116
11.102987925222225,-0.0717594640122222,-0.1609614729291579,0.8708962735260606,-1.6750319123286002,-0.7409290656994539,0.0,0.0,0.0,0.0,18.3,-0.00646307683080597,0.000369616027456,-1495.1719282998733,-1268.6307270423167
11.104813681722224,-0.0690512648886111,-0.1608973406811768,0.8610249652278787,-1.6801514804368,-0.7409262360913854,0.0,0.0,0.0,0.0,18.325,-0.006218138085672238,0.00471002515405,-1499.741772291537,-1272.5081704291829
11.10639890036111,-0.0664907404119444,-0.1607283963995515,0.8512238658557576,-1.6848812907948003,-0.7409235396405942,0.0,0.0,0.0,0.0,18.35,-0.005986705592735602,0.00875139422715,-1503.9637095701128,-1276.0904202413076
11.107748879333334,-0.0640953290794444,-0.1604636448976274,0.8416925788648485,-1.68907837868,-0.7409208431906757,0.0,0.0,0.0,0.0,18.375,-0.005770325722676157,0.0123701328412,-1507.7101265430495,-1279.2691982789509
11.108871036111111,-0.0618793567022222,-0.1601127567793253,0.832603741269697,-1.692847448586,-0.7409183797657743,0.0,0.0,0.0,0.0,18.4,-0.005570265106244706,0.0156372524798,-1511.0744848443885,-1282.1238053225113
11.10978020561111,-0.0598555306594444,-0.15968485337111,0.8240931100557575,-1.6961682021648,-0.7409158830522081,0.0,0.0,0.0,0.0,18.425,-0.005387643099294957,0.0185294169933,-1514.038665702842,-1284.6388678690778
11.110490163166666,-0.0580335698194444,-0.1591894388293893,0.8162648888781818,-1.6990330457688,-0.7409138856817041,0.0,0.0,0.0,0.0,18.45,-0.005223313190252977,0.0210354309529,-1516.5958908542816,-1286.8086346642385
11.111017862944443,-0.0564203825261111,-0.158636217047098,0.8091917280721213,-1.7014446079736,-0.7409117884425876,0.0,0.0,0.0,0.0,18.475,-0.005077877042595229,0.0231546070427,-1518.7485066256154,-1288.6350965308247
11.11138449775,-0.0550202238891666,-0.1580348419834752,0.802918830640606,-1.7034006983028,-0.7409096579139337,0.0,0.0,0.0,0.0,18.5,-0.004951698314490684,0.0248839724809,-1520.4945577473354,-1290.1165944522845
11.111608081388887,-0.0538345136575,-0.1573949842420925,0.7974662827,-1.7049290627222,-0.7409080933065445,0.0,0.0,0.0,0.0,18.525,-0.004844889530226393,0.0262442734092,-1521.858810905308,-1291.274142586322
11.111708747027777,-0.0528633801472222,-0.1567253157412697,0.7928359522963636,-1.7060759931782,-0.7409065286991554,0.0,0.0,0.0,0.0,18.55,-0.004757448323270928,0.0272729676217,-1522.8825873533278,-1292.142801390702
11.111705568111113,-0.0521052628755555,-0.1560338925431447,0.7890064031424241,-1.7068543404304,-0.7409049973813036,0.0,0.0,0.0,0.0,18.575,-0.004689222780082439,0.0279801115394,-1523.577357974349,-1292.732303735811
11.111619737416667,-0.0515559770994444,-0.1553289538025734,0.7859457859848484,-1.707254466414,-0.7409035326425267,0.0,0.0,0.0,0.0,18.6,-0.00463982554459073,0.0283617675304,-1523.9345196105296,-1293.0353499725702
11.111467149527778,-0.0512098189858333,-0.1546180562391552,0.7836033676618182,-1.7073298186042003,-0.7409027004049621,0.0,0.0,0.0,0.0,18.625,-0.004608736028887926,0.028462221846,-1524.0017807048969,-1293.0924199920335
11.111265818277776,-0.0510599588355555,-0.1539079243345756,0.7819149872751515,-1.7071044921924,-0.7409019014569352,0.0,0.0,0.0,0.0,18.65,-0.004595332311424235,0.0283049605787,-1523.800649178298,-1292.921762939162
11.111029518972224,-0.0510972779658333,-0.1532054490180331,0.7808008922230304,-1.7065130651030005,-0.7409011690879831,0.0,0.0,0.0,0.0,18.675,-0.0045987887871762065,0.0278451610357,-1523.2727277845638,-1292.4738296353871
11.110773086555556,-0.0513106170627777,-0.1525173547713879,0.7801884691642424,-1.7056586355018002,-0.7409005032972333,0.0,0.0,0.0,0.0,18.7,-0.004618096028337167,0.0271670743823,-1522.5100443126726,-1291.8267042652978
11.110507117388888,-0.0516893963019444,-0.1518486350215981,0.7799969667381818,-1.7045761048834005,-0.7408999040864311,0.0,0.0,0.0,0.0,18.725,-0.004652298563496359,0.0262976009399,-1521.543752637724,-1291.006820419887
11.110242207833334,-0.0522221749027777,-0.151203800497939,0.7801777787642424,-1.7032921969854,-0.7408998707968937,0.0,0.0,0.0,0.0,18.75,-0.004700363315748255,0.0252632815391,-1520.3977069812302,-1290.0344180446798
11.109984715777776,-0.0528971643911111,-0.150586596270498,0.7806668738163637,-1.7018383085774005,-0.7408999040864311,0.0,0.0,0.0,0.0,18.775,-0.004761227467396019,0.0240897331387,-1519.099932820319,-1288.9332763323916
11.109744177916667,-0.0537022617127777,-0.1500002181327797,0.7814092462715152,-1.7002426236852002,-0.7408994713224438,0.0,0.0,0.0,0.0,18.8,-0.004833798227282683,0.0228008013219,-1517.6755878632648,-1287.7247412173156
11.109524832833335,-0.0546252561938888,-0.1494472959561512,0.7823559015448485,-1.6985295295696,-0.7408996044805938,0.0,0.0,0.0,0.0,18.825,-0.004916975029611357,0.021416336298,-1516.146440738766,-1286.4272830510738
11.109331978694444,-0.0556536060241666,-0.1489300434935465,0.7834534986090909,-1.6967077881068002,-0.7408997709282812,0.0,0.0,0.0,0.0,18.85,-0.0050096266932070695,0.0199481844902,-1514.5203124986112,-1285.0475378776093
11.109169854055557,-0.0567746783297222,-0.148450308312638,0.7846648430103031,-1.6948121547714,-0.7408999706646335,0.0,0.0,0.0,0.0,18.875,-0.005110613941058415,0.0184221658856,-1512.8282266770939,-1283.6118286957158
